"País";"Eleitorado";"Com biometria";"Com biometria (%)";"Sem biometria";"Sem biometria (%)";
"Brasil";"146.801.630";"87.338.602";"59,49%";"59.463.028";"40,51%"
"Exterior";"500.727";"20.582";"4,11%";"480.145";"95,89%"
