"Abrangência";"Partido";"Sexo";"Faixa Etária";"Eleitores";"%";
"Brasil";"DEM";"MASCULINO";"70 a 79 anos";"74.529";"0,444"
"Brasil";"DEM";"MASCULINO";"Inválida";"13";"0,000"
"Brasil";"DEM";"MASCULINO";"Superior a 79 anos";"54.985";"0,327"
"Brasil";"DEM";"NÃO INFORMADO";"35 a 44 anos";"5";"0,000"
"Brasil";"DEM";"NÃO INFORMADO";"45 a 59 anos";"277";"0,002"
"Brasil";"DEM";"NÃO INFORMADO";"60 a 69 anos";"217";"0,001"
"Brasil";"DEM";"NÃO INFORMADO";"70 a 79 anos";"181";"0,001"
"Brasil";"DEM";"NÃO INFORMADO";"Superior a 79 anos";"203";"0,001"
"Brasil";"DEM";"Não informado (nulo)";"Não informada";"7.605";"0,045"
"Brasil";"MDB";"FEMININO";"16 anos";"2";"0,000"
"Brasil";"MDB";"FEMININO";"17 anos";"70";"0,000"
"Brasil";"MDB";"FEMININO";"18 a 20 anos";"2.201";"0,013"
"Brasil";"MDB";"FEMININO";"21 a 24 anos";"9.978";"0,059"
"Brasil";"MDB";"FEMININO";"25 a 34 anos";"81.453";"0,485"
"Brasil";"MDB";"FEMININO";"35 a 44 anos";"143.027";"0,851"
"Brasil";"MDB";"FEMININO";"45 a 59 anos";"370.431";"2,205"
"Brasil";"MDB";"FEMININO";"60 a 69 anos";"242.592";"1,444"
"Brasil";"MDB";"FEMININO";"70 a 79 anos";"135.819";"0,808"
"Brasil";"MDB";"FEMININO";"Inválida";"16";"0,000"
"Brasil";"MDB";"FEMININO";"Superior a 79 anos";"90.384";"0,538"
"Brasil";"MDB";"MASCULINO";"16 anos";"9";"0,000"
"Brasil";"MDB";"MASCULINO";"17 anos";"75";"0,000"
"Brasil";"MDB";"MASCULINO";"18 a 20 anos";"2.384";"0,014"
"Brasil";"MDB";"MASCULINO";"21 a 24 anos";"11.685";"0,070"
"Brasil";"MDB";"MASCULINO";"25 a 34 anos";"94.593";"0,563"
"Brasil";"MDB";"MASCULINO";"35 a 44 anos";"174.791";"1,040"
"Brasil";"MDB";"MASCULINO";"45 a 59 anos";"434.522";"2,587"
"Brasil";"MDB";"MASCULINO";"60 a 69 anos";"292.212";"1,739"
"Brasil";"MDB";"MASCULINO";"70 a 79 anos";"174.189";"1,037"
"Brasil";"MDB";"MASCULINO";"Inválida";"28";"0,000"
"Brasil";"MDB";"MASCULINO";"Superior a 79 anos";"127.587";"0,759"
"Brasil";"MDB";"NÃO INFORMADO";"35 a 44 anos";"7";"0,000"
"Brasil";"MDB";"NÃO INFORMADO";"45 a 59 anos";"736";"0,004"
"Brasil";"MDB";"NÃO INFORMADO";"60 a 69 anos";"817";"0,005"
"Brasil";"MDB";"NÃO INFORMADO";"70 a 79 anos";"700";"0,004"
"Brasil";"MDB";"NÃO INFORMADO";"Superior a 79 anos";"811";"0,005"
"Brasil";"MDB";"Não informado (nulo)";"Não informada";"3.428";"0,020"
"Brasil";"NOVO";"FEMININO";"17 anos";"5";"0,000"
"Brasil";"NOVO";"FEMININO";"18 a 20 anos";"14";"0,000"
"Brasil";"NOVO";"FEMININO";"21 a 24 anos";"54";"0,000"
"Brasil";"NOVO";"FEMININO";"25 a 34 anos";"521";"0,003"
"Brasil";"NOVO";"FEMININO";"35 a 44 anos";"713";"0,004"
"Brasil";"NOVO";"FEMININO";"45 a 59 anos";"941";"0,006"
"Brasil";"NOVO";"FEMININO";"60 a 69 anos";"398";"0,002"
"Brasil";"NOVO";"FEMININO";"70 a 79 anos";"106";"0,001"
"Brasil";"NOVO";"FEMININO";"Superior a 79 anos";"28";"0,000"
"Brasil";"NOVO";"MASCULINO";"16 anos";"3";"0,000"
"Brasil";"NOVO";"MASCULINO";"17 anos";"5";"0,000"
"Brasil";"NOVO";"MASCULINO";"18 a 20 anos";"100";"0,001"
"Brasil";"NOVO";"MASCULINO";"21 a 24 anos";"399";"0,002"
"Brasil";"NOVO";"MASCULINO";"25 a 34 anos";"4.177";"0,025"
"Brasil";"NOVO";"MASCULINO";"35 a 44 anos";"5.294";"0,032"
"Brasil";"NOVO";"MASCULINO";"45 a 59 anos";"4.293";"0,026"
"Brasil";"NOVO";"MASCULINO";"60 a 69 anos";"1.475";"0,009"
"Brasil";"NOVO";"MASCULINO";"70 a 79 anos";"444";"0,003"
"Brasil";"NOVO";"MASCULINO";"Superior a 79 anos";"53";"0,000"
"Brasil";"NOVO";"NÃO INFORMADO";"45 a 59 anos";"1";"0,000"
"Brasil";"NOVO";"NÃO INFORMADO";"60 a 69 anos";"2";"0,000"
"Brasil";"PATRI";"FEMININO";"16 anos";"1";"0,000"
"Brasil";"PATRI";"FEMININO";"17 anos";"16";"0,000"
"Brasil";"PATRI";"FEMININO";"18 a 20 anos";"696";"0,004"
"Brasil";"PATRI";"FEMININO";"21 a 24 anos";"2.780";"0,017"
"Brasil";"PATRI";"FEMININO";"25 a 34 anos";"7.722";"0,046"
"Brasil";"PATRI";"FEMININO";"35 a 44 anos";"8.246";"0,049"
"Brasil";"PATRI";"FEMININO";"45 a 59 anos";"8.699";"0,052"
"Brasil";"PATRI";"FEMININO";"60 a 69 anos";"2.601";"0,015"
"Brasil";"PATRI";"FEMININO";"70 a 79 anos";"741";"0,004"
"Brasil";"PATRI";"FEMININO";"Inválida";"1";"0,000"
"Brasil";"PATRI";"FEMININO";"Superior a 79 anos";"160";"0,001"
"Brasil";"PATRI";"MASCULINO";"16 anos";"6";"0,000"
"Brasil";"PATRI";"MASCULINO";"17 anos";"21";"0,000"
"Brasil";"PATRI";"MASCULINO";"18 a 20 anos";"859";"0,005"
