"UF";"Partido";"Número do candidato";"Nome do candidato";"Nome do candidato (urna)";"Cargo";"Situação da candidatura";"Detalhe situação candidatura";"Data eleição";
"AC";"PSDB";"45324";"ANTONIA DE SOUZA NASCIMENTO";"ANTONIA DO LANCHE";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSDB";"45111";"ANTONIA FRANÇA DE OLIVEIRA VIEIRA";"TOINHA VIEIRA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PR";"2222";"ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA";"ANTÔNIA LÚCIA";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"MDB";"15222";"ANTONIA ODINEIA DA SILVA NASCIMENTO";"PATRICIA SILVA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"MDB";"15122";"ANTONIA ROJAS SALES";"ANTONIA SALES";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSL";"17999";"ANTONIO CARLOS DE OLIVEIRA FONSECA";"ANTONIO CARLOS";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSDB";"45045";"ANTONIO CARLOS FERREIRA PORTELA";"CARLINHOS PORTELA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"SOLIDARIEDADE";"77111";"ANTONIO CARLOS MOREIRA ALVES";"ANTONIO CARLOS PATO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"MDB";"15234";"ANTONIO DE OLIVEIRA BARBOSA";"TOIM ABILIO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PMN";"33333";"ANTONIO EDEMILSON DA SILVA SOUZA";"EDEMILSON SOUZA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PV";"43111";"ANTONIO EDILSON RODRIGUES DOS SANTOS";"PROFESSOR EDILSON";"Deputado Estadual";"Apto";"Deferido";"7.10.2018"
"AC";"PDT";"12300";"ANTONIO FERREIRA PEREIRA";"TONY FERREIRA - CANTOR";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PROS";"90555";"ANTONIO JORGE IDELFONSO XAVIER";"JORGE DE OLIVEIRA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
